City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
57,Berlevag,NO,2021-07-19 18:19:30,70.8578,29.0864,43.39,88,87,19.08
58,Oistins,BB,2021-07-19 18:19:30,13.0667,-59.5333,86.09,70,40,21.85
59,Zeya,RU,2021-07-19 18:19:31,53.75,127.2667,66.7,98,100,4.74
60,Takoradi,GH,2021-07-19 18:19:31,4.8845,-1.7554,76.24,83,100,8.93
61,Saskylakh,RU,2021-07-19 18:19:31,71.9167,114.0833,49.8,95,99,9.26
62,Tuktoyaktuk,CA,2021-07-19 18:19:32,69.4541,-133.0374,62.6,72,75,10.36
63,Manali,IN,2021-07-19 18:19:32,13.1667,80.2667,78.89,68,88,9.08
64,San Quintin,MX,2021-07-19 18:19:32,30.4833,-115.95,76.75,67,5,12.12
65,Sao Filipe,CV,2021-07-19 18:19:33,14.8961,-24.4956,75.36,83,21,8.55
66,Hithadhoo,MV,2021-07-19 18:16:19,-0.6,73.0833,82.85,68,99,4.21
67,Virginia Beach,US,2021-07-19 18:19:33,36.8529,-75.978,80.65,69,90,0.0
68,Alexandria,EG,2021-07-19 18:19:33,31.2156,29.9553,81.48,68,0,14.92
69,Bari,IT,2021-07-19 18:14:57,41.1177,16.8512,78.84,70,40,10.0
70,Codrington,AU,2021-07-19 18:17:09,-38.2667,141.9667,51.48,89,98,17.02
71,Albany,US,2021-07-19 18:17:47,42.6001,-73.9662,82.15,70,93,4.85
72,East London,ZA,2021-07-19 18:14:49,-33.0153,27.9116,67.14,24,0,6.91
73,Khatanga,RU,2021-07-19 18:19:14,71.9667,102.5,57.27,62,97,2.24
74,Kabalo,CD,2021-07-19 18:19:34,-6.05,26.9167,80.47,29,0,4.79
75,Tiksi,RU,2021-07-19 18:19:34,71.6872,128.8694,53.38,94,85,9.55
76,Daru,PG,2021-07-19 18:19:35,-9.0763,143.2092,77.14,84,100,14.9
77,Salalah,OM,2021-07-19 18:18:49,17.0151,54.0924,78.89,89,75,6.91
78,Sijunjung,ID,2021-07-19 18:19:35,-0.6876,100.9537,70.09,90,99,2.26
79,Moerai,PF,2021-07-19 18:19:35,-22.4333,-151.3333,74.88,85,90,26.75
80,Alasehir,TR,2021-07-19 18:19:36,38.3508,28.5172,80.76,45,0,9.55
81,Cidreira,BR,2021-07-19 18:14:50,-30.1811,-50.2056,56.5,62,64,21.18
82,Airai,TL,2021-07-19 18:19:36,-8.9266,125.4092,55.51,83,30,3.31
83,Carnarvon,AU,2021-07-19 18:17:47,-24.8667,113.6333,53.67,64,5,8.05
84,Cherskiy,RU,2021-07-19 18:19:36,68.75,161.3,49.39,62,22,5.99
85,Katobu,ID,2021-07-19 18:19:37,-4.9408,122.5276,73.63,94,71,4.41
86,Catia La Mar,VE,2021-07-19 18:19:37,10.6038,-67.0303,89.8,68,75,5.75
87,Rundu,NA,2021-07-19 18:19:37,-17.9333,19.7667,58.14,27,0,3.87
88,Vostok,RU,2021-07-19 18:19:37,46.4856,135.8833,67.14,83,54,3.44
89,Cabo San Lucas,MX,2021-07-19 18:19:38,22.8909,-109.9124,98.51,48,40,10.36
90,Hualmay,PE,2021-07-19 18:19:19,-11.0964,-77.6139,67.86,69,40,11.39
91,Nome,US,2021-07-19 18:19:38,64.5011,-165.4064,62.17,77,90,10.36
92,Avarua,CK,2021-07-19 18:19:38,-21.2078,-159.775,75.25,83,20,9.22
93,Puerto Ayora,EC,2021-07-19 18:19:39,-0.7393,-90.3518,78.76,88,96,5.99
94,Abancay,PE,2021-07-19 18:19:39,-13.6339,-72.8814,67.24,53,100,8.03
95,Nanortalik,GL,2021-07-19 18:19:39,60.1432,-45.2371,43.81,99,100,5.99
96,Tasiilaq,GL,2021-07-19 18:19:40,65.6145,-37.6368,50.16,88,100,8.63
97,Kavaratti,IN,2021-07-19 18:15:44,10.5669,72.642,82.29,77,96,16.49
98,Sabla,NG,2021-07-19 18:19:40,12.7525,4.7077,92.05,41,74,6.15
99,Pangnirtung,CA,2021-07-19 18:19:39,66.1451,-65.7125,44.6,93,90,11.5
100,Longyearbyen,SJ,2021-07-19 18:19:41,78.2186,15.6401,42.64,81,75,6.91
101,Constitucion,CL,2021-07-19 18:16:18,-35.3333,-72.4167,60.89,41,23,8.41
102,Tanout,NE,2021-07-19 18:19:41,14.9709,8.8879,95.86,28,37,10.38
103,Acapulco,MX,2021-07-19 18:15:07,16.8634,-99.8901,89.42,58,20,8.05
104,Mar Del Plata,AR,2021-07-19 18:19:41,-38.0023,-57.5575,54.88,62,0,4.0
105,Hambantota,LK,2021-07-19 18:16:28,6.1241,81.1185,81.05,78,76,19.04
106,Qaanaaq,GL,2021-07-19 18:16:00,77.484,-69.3632,38.19,88,49,2.64
107,Muli,MV,2021-07-19 18:19:42,2.9167,73.5667,83.25,72,74,9.22
108,Kaitangata,NZ,2021-07-19 18:15:43,-46.2817,169.8464,43.93,85,39,5.17
109,Hamilton,US,2021-07-19 18:16:02,39.1834,-84.5333,86.0,55,1,1.99
110,Kununurra,AU,2021-07-19 18:19:42,-15.7667,128.7333,57.18,77,73,0.0
111,Cookeville,US,2021-07-19 18:19:43,36.1628,-85.5016,80.65,77,40,1.01
112,Guajara,BR,2021-07-19 18:19:43,-2.9667,-57.6667,94.44,38,16,3.58
113,Lamu,KE,2021-07-19 18:19:43,-2.2717,40.902,77.22,80,65,17.9
114,Turayf,SA,2021-07-19 18:19:44,31.6725,38.6637,97.05,15,0,9.22
115,Launceston,AU,2021-07-19 18:19:44,-41.45,147.1667,48.79,97,90,3.0
116,Necochea,AR,2021-07-19 18:19:44,-38.5473,-58.7368,58.03,38,83,10.2
117,Hospet,IN,2021-07-19 18:19:45,15.2667,76.4,74.75,84,100,19.71
118,Bambous Virieux,MU,2021-07-19 18:19:45,-20.3428,57.7575,72.21,73,75,13.8
119,Nador,MA,2021-07-19 18:19:45,35.174,-2.9287,87.87,50,0,14.97
120,Margate,GB,2021-07-19 18:16:55,51.3813,1.3862,72.88,70,9,1.99
